Observation ID,Date,Longitude,latitude,Aspect,Area,avalanche_size,Type,Trigger,avalanche_occurred
dc198c9a-fe73-4a43-8cbe-fb1032af77d5,2021-12-09 07:00:00+00:00,-107.1225368,38.8947396,SE,Gunnison,1.5,SS,N,1
30164b7d-dd77-411d-b1bc-f742d8fa9252,2021-12-09 07:00:00+00:00,-106.9833167,38.9390984,NE,Gunnison,2.0,SS,N,1
30164b7d-dd77-411d-b1bc-f742d8fa9252,2021-12-09 07:00:00+00:00,-106.9833167,38.9390984,N,Gunnison,1.5,SS,N,1
418cf7aa-6738-4f28-9c56-251a33f7b492,2021-12-09 07:00:00+00:00,-107.0542413,38.9898171,NW,Aspen,2.0,SS,N,1
30164b7d-dd77-411d-b1bc-f742d8fa9252,2021-12-09 07:00:00+00:00,-106.9833167,38.9390984,NE,Gunnison,1.5,SS,N,1
e023d113-289e-4105-852a-5e9f947788e3,2021-12-09 07:00:00+00:00,-107.0871525,38.9140102,E,Gunnison,2.0,SS,N,1
7188a7c7-4376-4db0-a2d3-3163f5f1653a,2021-12-09 07:00:00+00:00,-107.108438,38.8218755,NE,Gunnison,2.0,SS,N,1
4bd44e24-3d6e-4f80-8a3a-39e81eb9a812,2021-12-09 07:00:00+00:00,-107.0458935,38.8800448,NE,Gunnison,1.5,SS,N,1
1a067fc3-5d7e-4e86-ac2f-039db41140d8,2021-12-09 07:00:00+00:00,-107.0595204,38.9232409,NE,Gunnison,2.0,SS,N,1
94d8ef40-b7fa-4a6d-a89a-b4f9e83fe78a,2021-12-09 07:00:00+00:00,-107.0861593,38.9387245,E,Gunnison,2.0,SS,N,1
94d8ef40-b7fa-4a6d-a89a-b4f9e83fe78a,2021-12-09 07:00:00+00:00,-107.0861593,38.9387245,NE,Gunnison,2.0,SS,N,1
84031b7e-f1b9-4c4a-a6ff-fa3724e72a1f,2021-12-09 07:00:00+00:00,-107.0960972,38.8318851,E,Gunnison,2.0,SS,N,1
a18ecd0a-66a2-4a77-a1cb-bd0d209b91b1,2021-12-01 07:00:00+00:00,-107.112829,38.9349925,SE,Gunnison,1.0,SS,N,1
59c41f2d-db5a-4684-904c-92b8b17733c7,2021-12-01 07:00:00+00:00,-106.5420297,39.0815659,E,Sawatch,1.0,WL,N,1
f19a9ffb-8f26-49a2-94f4-7ee15643b2bb,2021-11-29 07:00:00+00:00,-107.0219734,39.0151794,W,Gunnison,1.5,U,N,1
